election_date,primary_alp,primary_lnc,primary_oth,tpp_alp,tpp_lnc,seats_alp,seats_lnc,seats_oth,seats_total,seat_pc_alp,seat_pc_lnc,seat_pc_oth
1910-04-13,0.5,0.451,0.049,NA,NA,42,31,2,75,0.56,0.41333,0.02667
1913-05-31,0.485,0.489,0.026,NA,NA,37,38,0,75,0.49333,0.50667,0
1914-09-05,0.509,0.472,0.019,NA,NA,42,32,1,75,0.56,0.42667,0.01333
1917-05-05,0.439,0.542,0.019,NA,NA,22,53,0,75,0.29333,0.70667,0
1919-12-13,0.425,0.543,0.032,0.459,0.541,26,37,12,75,0.33333,0.50667,0.02667
1922-12-16,0.423,0.478,0.099,0.488,0.512,29,40,6,75,0.38667,0.53333,0.08
1925-11-14,0.45,0.532,0.018,0.462,0.538,23,50,2,75,0.30667,0.66667,0.02667
1928-11-17,0.446,0.496,0.058,0.484,0.516,31,42,2,75,0.41333,0.56,0.02667
1929-10-12,0.488,0.442,0.07,0.567,0.433,46,24,5,75,0.61333,0.32,0.06667
1931-12-19,0.271,0.484,0.245,0.415,0.585,14,50,11,75,0.18667,0.66667,0.14667
1934-09-15,0.268,0.456,0.276,0.465,0.535,18,42,14,74,0.24324,0.56757,0.18919
1937-10-23,0.432,0.493,0.075,0.494,0.506,29,43,2,74,0.39189,0.58108,0.02703
1940-09-21,0.402,0.439,0.159,0.503,0.497,32,36,6,74,0.43243,0.48649,0.08108
1943-08-21,0.499,0.23,0.271,0.582,0.418,49,19,6,74,0.66216,0.25676,0.08108
1946-09-28,0.497,0.393,0.11,0.541,0.459,43,26,5,74,0.58108,0.35135,0.06757
1949-12-10,0.46,0.503,0.037,0.49,0.51,47,74,0,121,0.38843,0.61157,0
1951-04-28,0.476,0.503,0.021,0.493,0.507,52,69,0,121,0.42975,0.57025,0
1954-05-29,0.5,0.468,0.032,0.507,0.493,57,64,0,121,0.47107,0.52893,0
1955-12-10,0.446,0.476,0.078,0.458,0.542,47,75,0,122,0.38525,0.61475,0
1958-11-22,0.428,0.466,0.106,0.459,0.541,45,77,0,122,0.36885,0.63115,0
1961-12-09,0.479,0.421,0.1,0.505,0.495,60,62,0,122,0.4918,0.5082,0
1963-11-30,0.455,0.46,0.085,0.474,0.526,50,72,0,122,0.40984,0.59016,0
1966-11-26,0.4,0.5,0.1,0.431,0.569,41,82,1,124,0.33065,0.66129,0.00806
1969-10-25,0.47,0.433,0.097,0.502,0.498,59,66,0,125,0.472,0.528,0
1972-12-02,0.496,0.415,0.089,0.527,0.473,67,58,0,125,0.536,0.464,0
1974-05-18,0.493,0.449,0.058,0.517,0.483,66,61,0,127,0.51969,0.48031,0
1975-12-13,0.428,0.531,0.041,0.443,0.557,36,91,0,127,0.28346,0.71654,0
1977-12-10,0.397,0.481,0.122,0.454,0.546,38,86,0,124,0.30645,0.69355,0
1980-10-18,0.452,0.463,0.085,0.496,0.504,51,74,0,125,0.408,0.592,0
1983-03-05,0.495,0.436,0.069,0.532,0.468,75,50,0,125,0.6,0.4,0
1984-12-01,0.476,0.45,0.074,0.518,0.482,82,66,0,148,0.55405,0.44595,0
1987-07-11,0.458,0.461,0.081,0.508,0.492,86,62,0,148,0.58108,0.41892,0
1990-03-24,0.394,0.435,0.171,0.499,0.501,78,69,1,148,0.52703,0.46622,0.00676
1993-03-13,0.449,0.443,0.107,0.514,0.486,80,65,2,147,0.54422,0.44218,0.01361
1996-03-02,0.387,0.473,0.14,0.464,0.536,49,94,5,148,0.33108,0.63514,0.03378
1998-10-03,0.401,0.395,0.204,0.51,0.49,67,80,1,148,0.4527,0.54054,0.00676
2001-11-10,0.378,0.43,0.192,0.49,0.51,65,82,3,150,0.43333,0.54667,0.02
2004-10-09,0.376,0.467,0.157,0.473,0.527,60,87,3,150,0.4,0.58,0.02
2007-11-24,0.434,0.421,0.145,0.527,0.473,83,65,2,150,0.55333,0.43333,0.01333
2010-08-21,0.38,0.433,0.187,0.501,0.499,72,72,6,150,0.48,0.48,0.04
2013-09-07,0.334,0.456,0.21,0.465,0.535,55,90,5,150,0.36667,0.6,0.03333
2016-07-02,0.347,0.42,0.233,0.496,0.504,69,76,5,150,0.46,0.50667,0.03333
2019-05-18,0.3334,0.4204,0.2462,0.4847,0.5153,68,77,6,151,0.45033,0.50993,0.03974
